text,sentiment
baru dicoba . bisa bersih tanpa harus basahin sepatu yeay,1
"packing hanya buble wrap , lain kali tambahkan kardus . komunikasikan pengiriman dengan jelas biar tidak repot masa dikirim terpisah case nya mana ngga instan dan bisa dicancel",0
mantap . sesuai deskripsi,1
barangnya rusak . kecewa berat,0
"barangg sudah diterima , packaging baik cukup memuaskan",1
sudah diterima . makasih,1
barang sampenya lama . box diterima dalam kondisi yang sudah rusak padahal mau buat kado,0
dikirim no 7 . seandainya 4 pasti pas di kaki walaupun pakai kaos ini tanpa sudah sempit sekali,1
"barang sudah sampai , respon cpat lumayan gan",0
bagus ty recommended seller,1
"bagian magnet perekat tidak melekat dengan sempurna , jadinya ketika ditempel lampunya jatuh cukup kecewa karena wadahnya ga kuat jdnya buat rusak lampu kalau kelantai",0
"lumayan , tapi kalau dipake jalan jauh suka lecet pas jepit jempol dan kaki telunjuk terasa sakit",0
pembelian kesekian kalinya dan biasanya dikemas pake kardus tapi yang dikirim cuma bubble wrap pecah lagi . ajukan barang rusak katanya bukan kesalahan toko pas dicek masa patahannya serpihannya kurang saya coba satuin ada bagian memang ngak apa di pengiriman mereka buka terus diganti gitu ?,0
earphone yg satunya ga bunyi,0
"udah langganan beli d tamagoo , baru tau ad toped jg . bahan tebal tp syg warnanya cm hitam n putih cb lbh beragam semoga awet thanks",1
udah sering belanja disini . pesanan sesuai seller komunikatif expired makanannya masih lama pengiriman jg cepat makasih,1
mending jangan di beli habisin duit lagi lengket sama sekali,0
penjual cepat barang sesuai,1
speaker tlponnya rusak loh gan . makasih,0
barang sudah diterima dengan cepat . kualitas bintang 5,1
produk rusak sama sekali,0
"paket diterima , ad sedikit cacat di bagian gagang disebabkn bungkus pecah . yg lain gk masalah terimakasih mudh mudhan usaha makin laris dan lancar pelayanan semakin baik",0
"respon lama , seller tdk komunikatif",0
sablonan tidak bagus . klo dicuci nempel,0
saya beli 5 . yg 2 ada kabel charger 3 lagi tidak jadi gimana ?,0
mantap nih produk semoga aweett,1
"makasih barang sudah sampe , dan sesuai pesanan",1
kecil tipis dan kualitas jahit buruk,0
barang sesuai dg yg di pesan dan packing aman,1
oke makasih barang saya udah sampai,0
"toko tidak mengirim mengirimkan barang smpai gagal pickup 3x entah apa yg membuat kendala , admin sangat profesional mmg pada gak bener saya jg tdk tahu yang jelas semua berbelit dan pesan hari minggu dikirim rabu ini official store tapi sepertinya perlu dipertimbangkan lagi krna pelayanan baik . para pekerjanya gk bungkus juga cm kardus doang tanpa dilapis apapun",0
"ori barangnya , ukuran juga pas . okelah overall",1
"respon cpt , kemasan baguslah brang sesuai pesanan",1
sudah diterima . semoga barangnya awet dan sukses terus buat agan,1
"gan , jam sudah mendarat lg dgn aman mantap",1
produk yang diterima sesuai dengan tertera pada deskripsi . bahan kuat dan tidak rentan debu atau kotoran juga dapat berfungsi baik saat digunakan indoor ataupun outdoor penjual sangat cepat menjawab pertanyaan saya selama proses transaksi senang berbelanja di toko ini,1
"puas bgt belanja jus disini pengiriman rapi dan cepat , seller sgt ramah selalu membalasa chat dgn . hrg pun murah pokoknya pelayanannya bagus rekomen beli",1
barang mau saya refund karena di hp gak cukup . eh malah jawab seller alamat lengkap komplain,0
kemasan belum baik . saat sampai kardus pada earphone sudah peot dan terbuka request warna dari cream jadi hitam,0
kurang respon kalau ada kendala barang nya kedepan coba pelayanan lebih mantap lagi,0
barang tidak ada dalam paket,0
barang tiba dengan baik . thanks,1
"barang tak terkirim , tpi udah refund kok",0
terima kasih paket sudah sampai dengan di pasang langsung cocok .,1
"bahannya plastik jelek , suaranya kecil banget lampunya jg gk terlalu terang bru dimainin udah patah",0
"trimakasih pesanan nya sudah sampai , nanti sy order lagi d tunggu saja",1
good service . super fast product,1
"barang memuaskan , saya sangat puas dengan kualitas dan waktu pengiriman yang cepat .",1
"order minggu sampainya rabu , lambat nya minta ampuun di tanyain baru info kalau overload orderan itupun selasa dikirim ga ada konfirmasi awal . tanggungjawab",0
barang sudah diterima . terima kasih,1
barang sudah sampai gan sesuai pesanan .,1
build quality kurang ok,0
barang ga bisa dipake . lampunya nyala dan sensornya rusak,0
yg dipesan kerah tinggi . dtg,0
"barang sesuai deskripsi , pengiriman cepat kualitas memuaskan . rekomended seller",1
respond dari penjual yg sangat membantu dlm proses pengorderan . carrot cakenya juga mantap,1
pengiriman cepat sampai,1
"besi disalah satu sisi gak bisa diatur panjang pendeknya karena sudah dol jadi alat digunakan , mengecewakan sekali",0
bahan terlalu tipis . jahitan kurang kuat bs cpt sobek,0
. mas yg filter ini kok saya enga terima lain itu ada cuman bagaimana,0
"sorry , . ga bisa terpakai nyala sekali dicharge 1 pe 2 jam langsung",0
sy suka banget,1
"produk memuaskan , sesuai yang spesifikasi ditayangkan . pengirimannya juga tepat waktu no complain",1
"standart banget yg ini boss , waduh",0
barang dicancel,0
terima kasih gan barang udh d dgn baik .,1
barang bagus . sampai dgn cepat tq,1
"yg satu error mulu . jadinya repot kadang hidupnya susah , kalauoun hidup harusbpakai headset sebab mic nya nyala mati",0
